,GDP_1,GDP_2,GDP_4,GDP_6,GDP_8,UNRATE_1,UNRATE_2,UNRATE_4,UNRATE_6,UNRATE_8,INFRATE_1,INFRATE_2,INFRATE_4,INFRATE_6,INFRATE_8,GS1_1,GS1_2,GS1_4,GS1_6,GS1_8,TSPREAD_1,TSPREAD_2,TSPREAD_4,TSPREAD_6,TSPREAD_8
3/1/1970,-0.001485953,-0.003187368,0.000811032,0.003783217,0.00587365,0.6,0.3,0.191675,0.105566667,0.054175,0.015873349,0.01555035,0.015101248,0.01414437,0.01349858,7.55,7.55,7.55,7.55,7.55,-1.2066,-1.2066,-1.2066,-1.2066,-1.2066
6/1/1970,0.001418191,-3.39E-05,0.000406715,0.003365363,0.003979668,0.6,0.6,0.33335,0.227783333,0.15,0.013900317,0.014886833,0.014657852,0.014410424,0.014023815,7.45,7.45,7.45,7.45,7.45,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667
9/1/1970,0.009173548,0.005295869,0.001054251,0.002305978,0.00416138,0.4,0.5,0.4,0.29445,0.204175,0.010300529,0.012100423,0.013825386,0.014100973,0.013633383,6.94,6.94,6.94,6.94,6.94,0.7567,0.7567,0.7567,0.7567,0.7567
12/1/1970,-0.01077427,-0.000800361,-0.000417121,4.36E-06,0.002323932,0.6666,0.5333,0.56665,0.4,0.3041625,0.01441399,0.01235726,0.013622046,0.013890988,0.013897133,5.65,5.65,5.65,5.65,5.65,1.2866,1.2866,1.2866,1.2866,1.2866
3/1/1971,0.026797629,0.00801168,0.006653775,0.003373394,0.003732403,0.1,0.3833,0.44165,0.394433333,0.3166625,0.008381444,0.011397717,0.01174907,0.013016163,0.013425159,4.05,4.05,4.05,4.05,4.05,2.16,2.16,2.16,2.16,2.16
6/1/1971,0.005396532,0.01609708,0.00764836,0.005087613,0.004027537,-0.0333,0.03335,0.283325,0.388883333,0.3083375,0.009140907,0.008761175,0.010559218,0.012001756,0.012608535,4.99,4.99,4.99,4.99,4.99,1.6834,1.6834,1.6834,1.6834,1.6834
9/1/1971,0.008196166,0.006796349,0.007404014,0.006701299,0.004229132,0.1333,0.05,0.21665,0.3111,0.308325,0.009876623,0.009508765,0.010453241,0.011002302,0.012139314,5.75,5.75,5.75,5.75,5.75,1.01,1.01,1.01,1.01,1.01
12/1/1971,0.002355018,0.005275592,0.010686336,0.006857437,0.005134608,-0.1,0.01665,0.025,0.194433333,0.295825,0.007343974,0.008610299,0.008685737,0.009909578,0.011153892,4.73,4.73,4.73,4.73,4.73,1.14,1.14,1.14,1.14,1.14
3/1/1972,0.018222492,0.010288755,0.008542552,0.008365594,0.007598163,-0.1666,-0.1333,-0.04165,0.1,0.2,0.008096404,0.007720189,0.008614477,0.009542224,0.010181774,4.41,4.41,4.41,4.41,4.41,2.4933,2.4933,2.4933,2.4933,2.4933
6/1/1972,0.022443838,0.020333165,0.012804379,0.013901946,0.010226369,-0.0667,-0.11665,-0.05,-0.022216667,0.1166625,0.006431697,0.00726405,0.007937175,0.008211842,0.009248196,4.84,4.84,4.84,4.84,4.84,1.8433,1.8433,1.8433,1.8433,1.8433
9/1/1972,0.009399595,0.015921717,0.013105236,0.011002273,0.010254625,-0.1333,-0.1,-0.11665,-0.0611,0.05,0.007980093,0.007205895,0.007463042,0.00814495,0.008958142,5.15,5.15,5.15,5.15,5.15,1.55,1.55,1.55,1.55,1.55
12/1/1972,0.016605967,0.013002781,0.016667973,0.012870513,0.013677155,-0.2,-0.16665,-0.14165,-0.088883333,-0.058325,0.010282416,0.009131255,0.008197652,0.008335201,0.008441695,5.44,5.44,5.44,5.44,5.44,1.23,1.23,1.23,1.23,1.23
3/1/1973,0.024446855,0.020526411,0.018224064,0.015578961,0.013383308,-0.4334,-0.3167,-0.20835,-0.183333333,-0.125,0.015611558,0.012946987,0.010076441,0.009291024,0.009345459,6.31,6.31,6.31,6.31,6.31,0.0666,0.0666,0.0666,0.0666,0.0666
6/1/1973,0.010827683,0.017637269,0.015320025,0.016991072,0.014062202,0,-0.2167,-0.191675,-0.166666667,-0.1208375,0.02069834,0.018154949,0.013643102,0.011516751,0.010790138,7.02,7.02,7.02,7.02,7.02,-1.01,-1.01,-1.01,-1.01,-1.01
9/1/1973,-0.005272903,0.00277739,0.011651901,0.013075173,0.012378568,-0.1333,-0.06665,-0.191675,-0.161116667,-0.1541625,0.019535565,0.020116952,0.01653197,0.013423278,0.011997506,8.51,8.51,8.51,8.51,8.51,-3.3533,-3.3533,-3.3533,-3.3533,-3.3533
12/1/1973,0.009447486,0.002087291,0.00986228,0.010909114,0.013265127,-0.0333,-0.0833,-0.15,-0.15555,-0.145825,0.024982205,0.022258885,0.020206917,0.016515029,0.014202285,7.41,7.41,7.41,7.41,7.41,-3.2434,-3.2434,-3.2434,-3.2434,-3.2434
3/1/1974,-0.008634824,0.000406331,0.001591861,0.007903377,0.009907962,0.3666,0.16665,0.05,-0.072233333,-0.079175,0.029319951,0.027151078,0.023634015,0.020071672,0.016855228,7.35,7.35,7.35,7.35,7.35,-2.27,-2.27,-2.27,-2.27,-2.27
6/1/1974,0.002373951,-0.003130436,-0.000521573,0.005531375,0.007399226,0.0667,0.21665,0.066675,-0.027783333,-0.0625,0.026427815,0.027873883,0.025066384,0.022762572,0.019354743,8.69,8.69,8.69,8.69,8.69,-3.7067,-3.7067,-3.7067,-3.7067,-3.7067
9/1/1974,-0.009496285,-0.003561167,-0.001577418,-0.000125815,0.005037241,0.4333,0.25,0.208325,0.116666667,0.008325,0.027750004,0.02708891,0.027119994,0.024785647,0.021825982,9.01,9.01,9.01,9.01,9.01,-4.1267,-4.1267,-4.1267,-4.1267,-4.1267
12/1/1974,-0.003888965,-0.006692625,-0.004911531,-0.00257859,0.002475375,0.9667,0.7,0.458325,0.277783333,0.1541625,0.030246882,0.028998443,0.028436163,0.02637707,0.02432154,7.67,7.67,7.67,7.67,7.67,-1.6767,-1.6767,-1.6767,-1.6767,-1.6767
3/1/1975,-0.012247703,-0.008068334,-0.005814751,-0.003741057,-0.002111445,1.6667,1.3167,0.78335,0.577783333,0.416675,0.021147843,0.025697362,0.026393136,0.026645783,0.025013576,6.31,6.31,6.31,6.31,6.31,1.2367,1.2367,1.2367,1.2367,1.2367
6/1/1975,0.007120029,-0.002563837,-0.004628231,-0.004128966,-0.002574902,0.6,1.13335,0.916675,0.683333333,0.491675,0.011975557,0.0165617,0.022780071,0.024478009,0.023923228,6.53,6.53,6.53,6.53,6.53,2.63,2.63,2.63,2.63,2.63
9/1/1975,0.016971737,0.012045883,0.001988775,0.000138794,0.000205678,-0.4,0.1,0.70835,0.555566667,0.4583375,0.019852383,0.01591397,0.020805666,0.022900081,0.02396283,7.52,7.52,7.52,7.52,7.52,2.1367,2.1367,2.1367,2.1367,2.1367
12/1/1975,0.013375227,0.015173482,0.006304823,0.00197234,0.000696646,-0.1667,-0.28335,0.425,0.516666667,0.4416625,0.018259778,0.01905608,0.01780889,0.021538741,0.023122527,6.68,6.68,6.68,6.68,6.68,2.65,2.65,2.65,2.65,2.65
3/1/1976,0.022238491,0.017806859,0.014926371,0.007261469,0.00455581,-0.5667,-0.3667,-0.13335,0.35,0.325,0.011393823,0.014826801,0.015370385,0.018812711,0.020881761,5.98,5.98,5.98,5.98,5.98,2.9266,2.9266,2.9266,2.9266,2.9266
6/1/1976,0.007310171,0.014774331,0.014973906,0.009127992,0.005172838,-0.1666,-0.36665,-0.325,0.161116667,0.2958375,0.008904778,0.010149301,0.014602691,0.015255694,0.018691381,6.28,6.28,6.28,6.28,6.28,2.5766,2.5766,2.5766,2.5766,2.5766
9/1/1976,0.005472205,0.006391188,0.012099023,0.01208131,0.007043899,0.1666,0,-0.18335,-0.0889,0.2625,0.015831465,0.012368122,0.013597461,0.014369631,0.017201564,6.01,6.01,6.01,6.01,6.01,2.4467,2.4467,2.4467,2.4467,2.4467
12/1/1976,0.007222319,0.006347262,0.010560796,0.012098358,0.008432809,0.0334,0.1,-0.133325,-0.183333333,0.1458375,0.014438026,0.015134745,0.012642023,0.014780042,0.015225457,5.23,5.23,5.23,5.23,5.23,2.3167,2.3167,2.3167,2.3167,2.3167
3/1/1977,0.01174567,0.009483994,0.007937591,0.011227347,0.011431981,-0.2667,-0.11665,-0.058325,-0.161116667,-0.0958375,0.018182892,0.016310459,0.01433929,0.014501794,0.014854838,5.42,5.42,5.42,5.42,5.42,2.6933,2.6933,2.6933,2.6933,2.6933
6/1/1977,0.019254528,0.015500099,0.01092368,0.01220723,0.012948793,-0.3667,-0.3167,-0.10835,-0.19445,-0.216675,0.017303814,0.017743353,0.016439049,0.014342466,0.01552087,5.69,5.69,5.69,5.69,5.69,2.2133,2.2133,2.2133,2.2133,2.2133
9/1/1977,0.017882656,0.018568592,0.014026293,0.011481258,0.013062658,-0.2333,-0.3,-0.208325,-0.138883333,-0.1958375,0.013741354,0.015522584,0.015916521,0.014733722,0.014756991,6.28,6.28,6.28,6.28,6.28,1.5367,1.5367,1.5367,1.5367,1.5367
12/1/1977,2.19E-05,0.008952264,0.012226181,0.010266541,0.011393489,-0.2333,-0.2333,-0.275,-0.15,-0.2041625,0.014630435,0.014185894,0.015964624,0.015687998,0.014303323,6.96,6.96,6.96,6.96,6.96,1.0834,1.0834,1.0834,1.0834,1.0834
3/1/1978,0.003186694,0.001604283,0.010086437,0.009885623,0.009012014,-0.3334,-0.28335,-0.291675,-0.233333333,-0.175,0.017066014,0.015848224,0.015685404,0.015893756,0.015012347,7.31,7.31,7.31,7.31,7.31,1.2533,1.2533,1.2533,1.2533,1.2533
6/1/1978,0.03791458,0.020550637,0.01475145,0.015001,0.012837565,-0.3333,-0.33335,-0.283325,-0.29445,-0.1958375,0.022485653,0.019775834,0.016980864,0.017235027,0.016709957,7.79,7.79,7.79,7.79,7.79,1.0367,1.0367,1.0367,1.0367,1.0367
9/1/1978,0.010005012,0.023959796,0.012782039,0.01471089,0.013404166,0.0333,-0.15,-0.216675,-0.24445,-0.2125,0.023001258,0.022743456,0.01929584,0.018038088,0.017606181,8.45,8.45,8.45,8.45,8.45,0.39,0.39,0.39,0.39,0.39
12/1/1978,0.013351929,0.01167847,0.016114554,0.013727124,0.014170367,-0.1333,-0.05,-0.191675,-0.20555,-0.2333375,0.022977529,0.022989393,0.021382613,0.018983707,0.018673619,9.82,9.82,9.82,9.82,9.82,-0.7633,-0.7633,-0.7633,-0.7633,-0.7633
3/1/1979,0.001796222,0.007574076,0.015766936,0.011046051,0.012926687,-0.0333,-0.0833,-0.11665,-0.172216667,-0.2041625,0.024873265,0.023925397,0.023334426,0.020839026,0.019509915,10.3,10.3,10.3,10.3,10.3,-0.9666,-0.9666,-0.9666,-0.9666,-0.9666
6/1/1979,0.001068719,0.001432471,0.006555471,0.011220526,0.01065346,-0.1667,-0.1,-0.075,-0.161116667,-0.1791625,0.031297007,0.028085136,0.025537264,0.023616788,0.021259064,9.94,9.94,9.94,9.94,9.94,-1.0667,-1.0667,-1.0667,-1.0667,-1.0667
9/1/1979,0.007401278,0.004234998,0.005904537,0.011922957,0.009343288,0.1667,0,-0.04165,-0.077766667,-0.1291625,0.03170493,0.031500968,0.027713182,0.026056607,0.023504511,10.15,10.15,10.15,10.15,10.15,-1.8434,-1.8434,-1.8434,-1.8434,-1.8434
12/1/1979,0.002497614,0.004949446,0.003190958,0.006020129,0.009652756,0.1,0.13335,0.016675,-0.00555,-0.0875,0.031168603,0.031436766,0.029760951,0.027503765,0.025571782,12.27,12.27,12.27,12.27,12.27,-3.13,-3.13,-3.13,-3.13,-3.13
3/1/1980,0.003140217,0.002818915,0.003526957,0.004875997,0.009646946,0.3333,0.21665,0.108325,0.04445,-0.0041625,0.03869788,0.034933242,0.033217105,0.030119869,0.028275766,13.93,13.93,13.93,13.93,13.93,-3.06,-3.06,-3.06,-3.06,-3.06
6/1/1980,-0.020820007,-0.008839895,-0.001945225,-0.000819326,0.002305123,1.0333,0.6833,0.408325,0.238883333,0.1666625,0.033184719,0.0359413,0.033689033,0.031821067,0.029613149,10.28,10.28,10.28,10.28,10.28,-2.21,-2.21,-2.21,-2.21,-2.21
9/1/1980,-0.001189193,-0.0110046,-0.004092842,-0.001316895,0.000905847,0.3334,0.68335,0.45,0.3,0.204175,0.018593506,0.025889113,0.030411177,0.030774441,0.02906218,10.14,10.14,10.14,10.14,10.14,1.1166,1.1166,1.1166,1.1166,1.1166
12/1/1980,0.018477486,0.008644146,-9.79E-05,0.001584566,0.001546542,-0.2667,0.03335,0.358325,0.283333333,0.1875,0.027648681,0.023121093,0.029531197,0.030166387,0.029646074,13.84,13.84,13.84,13.84,13.84,-3.43,-3.43,-3.43,-3.43,-3.43
3/1/1981,0.019404882,0.018941184,0.003968292,0.003585167,0.003747625,0.0333,-0.1167,0.283325,0.2611,0.195825,0.027282384,0.027465532,0.026677322,0.029429296,0.029947214,14.12,14.12,14.12,14.12,14.12,-3.61,-3.61,-3.61,-3.61,-3.61
6/1/1981,-0.007438376,0.005983253,0.0073137,0.001929168,0.002684238,-0.0333,0,0.016675,0.238883333,0.2125,0.02063551,0.023958947,0.02354002,0.02767378,0.028614527,15.13,15.13,15.13,15.13,15.13,-4.03,-4.03,-4.03,-4.03,-4.03
9/1/1981,0.011904108,0.002232866,0.010587025,0.003389817,0.003247091,0,-0.01665,-0.066675,0.183333333,0.1916625,0.027469214,0.024052362,0.025758947,0.025802336,0.028085062,16.32,16.32,16.32,16.32,16.32,-2.73,-2.73,-2.73,-2.73,-2.73
12/1/1981,-0.010955252,0.000474428,0.003228841,0.005033943,0.001565483,0.8333,0.41665,0.208325,0.15,0.283325,0.016126486,0.02179785,0.022878398,0.022959297,0.026204798,13.55,13.55,13.55,13.55,13.55,0.5,0.5,0.5,0.5,0.5
3/1/1982,-0.015657344,-0.013306298,-0.005536716,0.002622584,-0.000784212,0.6,0.71665,0.35,0.194433333,0.3166625,0.008847694,0.01248709,0.018269726,0.021334995,0.022473524,14.33,14.33,14.33,14.33,14.33,0.0666,0.0666,0.0666,0.0666,0.0666
6/1/1982,0.004551591,-0.005552877,-0.002539224,0.000301602,0.002387238,0.6,0.6,0.508325,0.338883333,0.2625,0.01434378,0.011595737,0.016696793,0.019117511,0.020118407,13.8,13.8,13.8,13.8,13.8,-0.5833,-0.5833,-0.5833,-0.5833,-0.5833
9/1/1982,-0.003830279,0.000360656,-0.006472821,-0.003570925,0.002057102,0.4667,0.53335,0.625,0.411116667,0.2791625,0.017217367,0.015780574,0.014133832,0.017440009,0.019946389,11.84,11.84,11.84,11.84,11.84,2.11,2.11,2.11,2.11,2.11
12/1/1982,0.000399345,-0.001715467,-0.003634172,-0.002264638,-0.000202666,0.7667,0.6167,0.60835,0.54445,0.4083375,0.003068011,0.010142689,0.010869213,0.014512092,0.016873806,9.13,9.13,9.13,9.13,9.13,1.38,1.38,1.38,1.38,1.38
3/1/1983,0.013092462,0.006745903,0.00355328,-0.002066579,-0.000991718,-0.3,0.23335,0.38335,0.49445,0.366675,0.000680844,0.001874427,0.008827501,0.010047364,0.013548613,8.86,8.86,8.86,8.86,8.86,1.91,1.91,1.91,1.91,1.91
